run_id,model,actual_label_index,pred_label_index,count
20260226_094437,LogisticRegression_Multinomial,11.0,8.0,1.0
20260226_094437,LogisticRegression_Multinomial,11.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,10.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,11.0,1.0
20260226_094437,LogisticRegression_Multinomial,11.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,0.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,7.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,8.0,1.0
20260226_094437,LogisticRegression_Multinomial,12.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,10.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,12.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,0.0,1.0
20260226_094437,LogisticRegression_Multinomial,13.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,7.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,8.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,10.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,13.0,13.0,0.0
20260226_094437,RandomForest,0.0,0.0,313.0
20260226_094437,RandomForest,0.0,1.0,12.0
20260226_094437,RandomForest,0.0,2.0,0.0
20260226_094437,RandomForest,0.0,3.0,7.0
20260226_094437,RandomForest,0.0,4.0,0.0
20260226_094437,RandomForest,0.0,5.0,1.0
20260226_094437,RandomForest,0.0,6.0,1.0
20260226_094437,RandomForest,0.0,7.0,0.0
20260226_094437,RandomForest,0.0,8.0,0.0
20260226_094437,RandomForest,0.0,9.0,0.0
20260226_094437,RandomForest,0.0,10.0,0.0
20260226_094437,RandomForest,0.0,11.0,0.0
20260226_094437,RandomForest,0.0,12.0,0.0
20260226_094437,RandomForest,0.0,13.0,0.0
20260226_094437,RandomForest,1.0,0.0,1.0
20260226_094437,RandomForest,1.0,1.0,243.0
20260226_094437,RandomForest,1.0,2.0,0.0
20260226_094437,RandomForest,1.0,3.0,0.0
20260226_094437,RandomForest,1.0,4.0,0.0
20260226_094437,RandomForest,1.0,5.0,0.0
20260226_094437,RandomForest,1.0,6.0,0.0
20260226_094437,RandomForest,1.0,7.0,0.0
20260226_094437,RandomForest,1.0,8.0,0.0
20260226_094437,RandomForest,1.0,9.0,0.0
20260226_094437,RandomForest,1.0,10.0,0.0
20260226_094437,RandomForest,1.0,11.0,0.0
20260226_094437,RandomForest,1.0,12.0,0.0
20260226_094437,RandomForest,1.0,13.0,0.0
20260226_094437,RandomForest,2.0,0.0,13.0
20260226_094437,RandomForest,2.0,1.0,0.0
20260226_094437,RandomForest,2.0,2.0,171.0
20260226_094437,RandomForest,2.0,3.0,35.0
20260226_094437,RandomForest,2.0,4.0,0.0
20260226_094437,RandomForest,2.0,5.0,0.0
20260226_094437,RandomForest,2.0,6.0,0.0
20260226_094437,RandomForest,2.0,7.0,0.0
20260226_094437,RandomForest,2.0,8.0,0.0
20260226_094437,RandomForest,2.0,9.0,0.0
20260226_094437,RandomForest,2.0,10.0,0.0
20260226_094437,RandomForest,2.0,11.0,0.0
20260226_094437,RandomForest,2.0,12.0,0.0
20260226_094437,RandomForest,2.0,13.0,0.0
20260226_094437,RandomForest,3.0,0.0,0.0
20260226_094437,RandomForest,3.0,1.0,0.0
20260226_094437,RandomForest,3.0,2.0,0.0
20260226_094437,RandomForest,3.0,3.0,168.0
20260226_094437,RandomForest,3.0,4.0,0.0
20260226_094437,RandomForest,3.0,5.0,0.0
20260226_094437,RandomForest,3.0,6.0,0.0
20260226_094437,RandomForest,3.0,7.0,0.0
20260226_094437,RandomForest,3.0,8.0,0.0
20260226_094437,RandomForest,3.0,9.0,0.0
20260226_094437,RandomForest,3.0,10.0,0.0
20260226_094437,RandomForest,3.0,11.0,0.0
20260226_094437,RandomForest,3.0,12.0,0.0
20260226_094437,RandomForest,3.0,13.0,0.0
20260226_094437,RandomForest,4.0,0.0,0.0
20260226_094437,RandomForest,4.0,1.0,0.0
20260226_094437,RandomForest,4.0,2.0,0.0
20260226_094437,RandomForest,4.0,3.0,0.0
20260226_094437,RandomForest,4.0,4.0,139.0
20260226_094437,RandomForest,4.0,5.0,0.0
20260226_094437,RandomForest,4.0,6.0,0.0
20260226_094437,RandomForest,4.0,7.0,0.0
20260226_094437,RandomForest,4.0,8.0,0.0
20260226_094437,RandomForest,4.0,9.0,0.0
20260226_094437,RandomForest,4.0,10.0,0.0
20260226_094437,RandomForest,4.0,11.0,0.0
20260226_094437,RandomForest,4.0,12.0,0.0
20260226_094437,RandomForest,4.0,13.0,0.0
20260226_094437,RandomForest,5.0,0.0,2.0
20260226_094437,RandomForest,5.0,1.0,0.0
20260226_094437,RandomForest,5.0,2.0,0.0
20260226_094437,RandomForest,5.0,3.0,0.0
20260226_094437,RandomForest,5.0,4.0,0.0
20260226_094437,RandomForest,5.0,5.0,133.0
20260226_094437,RandomForest,5.0,6.0,0.0
20260226_094437,RandomForest,5.0,7.0,0.0
20260226_094437,RandomForest,5.0,8.0,0.0
20260226_094437,RandomForest,5.0,9.0,0.0
20260226_094437,RandomForest,5.0,10.0,0.0
20260226_094437,RandomForest,5.0,11.0,0.0
20260226_094437,RandomForest,5.0,12.0,0.0
20260226_094437,RandomForest,5.0,13.0,0.0
20260226_094437,RandomForest,6.0,0.0,50.0
20260226_094437,RandomForest,6.0,1.0,3.0
20260226_094437,RandomForest,6.0,2.0,1.0
20260226_094437,RandomForest,6.0,3.0,11.0
20260226_094437,RandomForest,6.0,4.0,0.0
20260226_094437,RandomForest,6.0,5.0,0.0
20260226_094437,RandomForest,6.0,6.0,8.0
20260226_094437,RandomForest,6.0,7.0,0.0
20260226_094437,RandomForest,6.0,8.0,0.0
20260226_094437,RandomForest,6.0,9.0,0.0
20260226_094437,RandomForest,6.0,10.0,0.0
20260226_094437,RandomForest,6.0,11.0,0.0
20260226_094437,RandomForest,6.0,12.0,0.0
20260226_094437,RandomForest,6.0,13.0,0.0
20260226_094437,RandomForest,7.0,0.0,0.0
20260226_094437,RandomForest,7.0,1.0,0.0
20260226_094437,RandomForest,7.0,2.0,0.0
20260226_094437,RandomForest,7.0,3.0,0.0
20260226_094437,RandomForest,7.0,4.0,0.0
20260226_094437,RandomForest,7.0,5.0,0.0
20260226_094437,RandomForest,7.0,6.0,0.0
20260226_094437,RandomForest,7.0,7.0,56.0
20260226_094437,RandomForest,7.0,8.0,0.0
20260226_094437,RandomForest,7.0,9.0,0.0
20260226_094437,RandomForest,7.0,10.0,0.0
20260226_094437,RandomForest,7.0,11.0,0.0
20260226_094437,RandomForest,7.0,12.0,0.0
20260226_094437,RandomForest,7.0,13.0,0.0
20260226_094437,RandomForest,8.0,0.0,0.0
20260226_094437,RandomForest,8.0,1.0,0.0
20260226_094437,RandomForest,8.0,2.0,0.0
20260226_094437,RandomForest,8.0,3.0,0.0
20260226_094437,RandomForest,8.0,4.0,0.0
20260226_094437,RandomForest,8.0,5.0,0.0
20260226_094437,RandomForest,8.0,6.0,0.0
20260226_094437,RandomForest,8.0,7.0,0.0
20260226_094437,RandomForest,8.0,8.0,52.0
20260226_094437,RandomForest,8.0,9.0,0.0
20260226_094437,RandomForest,8.0,10.0,0.0
20260226_094437,RandomForest,8.0,11.0,0.0
20260226_094437,RandomForest,8.0,12.0,0.0
20260226_094437,RandomForest,8.0,13.0,0.0
20260226_094437,RandomForest,9.0,0.0,0.0
20260226_094437,RandomForest,9.0,1.0,0.0
20260226_094437,RandomForest,9.0,2.0,0.0
20260226_094437,RandomForest,9.0,3.0,0.0
20260226_094437,RandomForest,9.0,4.0,0.0
20260226_094437,RandomForest,9.0,5.0,0.0
20260226_094437,RandomForest,9.0,6.0,0.0
20260226_094437,RandomForest,9.0,7.0,0.0
20260226_094437,RandomForest,9.0,8.0,0.0
20260226_094437,RandomForest,9.0,9.0,4.0
20260226_094437,RandomForest,9.0,10.0,0.0
20260226_094437,RandomForest,9.0,11.0,0.0
20260226_094437,RandomForest,9.0,12.0,0.0
20260226_094437,RandomForest,9.0,13.0,0.0
20260226_094437,RandomForest,10.0,0.0,0.0
20260226_094437,RandomForest,10.0,1.0,0.0
20260226_094437,RandomForest,10.0,2.0,0.0
20260226_094437,RandomForest,10.0,3.0,0.0
20260226_094437,RandomForest,10.0,4.0,0.0
20260226_094437,RandomForest,10.0,5.0,0.0
20260226_094437,RandomForest,10.0,6.0,0.0
20260226_094437,RandomForest,10.0,7.0,0.0
20260226_094437,RandomForest,10.0,8.0,5.0
20260226_094437,RandomForest,10.0,9.0,0.0
20260226_094437,RandomForest,10.0,10.0,0.0
20260226_094437,RandomForest,10.0,11.0,0.0
20260226_094437,RandomForest,10.0,12.0,0.0
20260226_094437,RandomForest,10.0,13.0,0.0
20260226_094437,RandomForest,11.0,0.0,0.0
20260226_094437,RandomForest,11.0,1.0,0.0
20260226_094437,RandomForest,11.0,2.0,0.0
20260226_094437,RandomForest,11.0,3.0,0.0
20260226_094437,RandomForest,11.0,4.0,3.0
20260226_094437,RandomForest,11.0,5.0,0.0
20260226_094437,RandomForest,11.0,6.0,0.0
20260226_094437,RandomForest,11.0,7.0,0.0
20260226_094437,RandomForest,11.0,8.0,0.0
20260226_094437,RandomForest,11.0,9.0,0.0
20260226_094437,RandomForest,11.0,10.0,0.0
20260226_094437,RandomForest,11.0,11.0,1.0
20260226_094437,RandomForest,11.0,12.0,0.0
20260226_094437,RandomForest,11.0,13.0,0.0
20260226_094437,RandomForest,12.0,0.0,0.0
20260226_094437,RandomForest,12.0,1.0,0.0
20260226_094437,RandomForest,12.0,2.0,0.0
20260226_094437,RandomForest,12.0,3.0,0.0
20260226_094437,RandomForest,12.0,4.0,1.0
20260226_094437,RandomForest,12.0,5.0,0.0
20260226_094437,RandomForest,12.0,6.0,0.0
20260226_094437,RandomForest,12.0,7.0,0.0
20260226_094437,RandomForest,12.0,8.0,0.0
20260226_094437,RandomForest,12.0,9.0,0.0
20260226_094437,RandomForest,12.0,10.0,0.0
20260226_094437,RandomForest,12.0,11.0,0.0
20260226_094437,RandomForest,12.0,12.0,0.0
20260226_094437,RandomForest,12.0,13.0,0.0
20260226_094437,RandomForest,13.0,0.0,1.0
20260226_094437,RandomForest,13.0,1.0,0.0
20260226_094437,RandomForest,13.0,2.0,0.0
20260226_094437,RandomForest,13.0,3.0,0.0
20260226_094437,RandomForest,13.0,4.0,0.0
20260226_094437,RandomForest,13.0,5.0,0.0
20260226_094437,RandomForest,13.0,6.0,0.0
20260226_094437,RandomForest,13.0,7.0,0.0
20260226_094437,RandomForest,13.0,8.0,0.0
20260226_094437,RandomForest,13.0,9.0,0.0
20260226_094437,RandomForest,13.0,10.0,0.0
20260226_094437,RandomForest,13.0,11.0,0.0
20260226_094437,RandomForest,13.0,12.0,0.0
20260226_094437,RandomForest,13.0,13.0,0.0
20260226_094437,OvR_LinearSVC,0.0,0.0,284.0
20260226_094437,OvR_LinearSVC,0.0,1.0,26.0
20260226_094437,OvR_LinearSVC,0.0,2.0,8.0
20260226_094437,OvR_LinearSVC,0.0,3.0,5.0
20260226_094437,OvR_LinearSVC,0.0,4.0,0.0
20260226_094437,OvR_LinearSVC,0.0,5.0,11.0
20260226_094437,OvR_LinearSVC,0.0,6.0,0.0
20260226_094437,OvR_LinearSVC,0.0,7.0,0.0
20260226_094437,OvR_LinearSVC,0.0,8.0,0.0
20260226_094437,OvR_LinearSVC,0.0,9.0,0.0
20260226_094437,OvR_LinearSVC,0.0,10.0,0.0
20260226_094437,OvR_LinearSVC,0.0,11.0,0.0
20260226_094437,OvR_LinearSVC,0.0,12.0,0.0
20260226_094437,OvR_LinearSVC,0.0,13.0,0.0
20260226_094437,OvR_LinearSVC,1.0,0.0,0.0
20260226_094437,OvR_LinearSVC,1.0,1.0,244.0
20260226_094437,OvR_LinearSVC,1.0,2.0,0.0
20260226_094437,OvR_LinearSVC,1.0,3.0,0.0
20260226_094437,OvR_LinearSVC,1.0,4.0,0.0
20260226_094437,OvR_LinearSVC,1.0,5.0,0.0
20260226_094437,OvR_LinearSVC,1.0,6.0,0.0
20260226_094437,OvR_LinearSVC,1.0,7.0,0.0
20260226_094437,OvR_LinearSVC,1.0,8.0,0.0
20260226_094437,OvR_LinearSVC,1.0,9.0,0.0
20260226_094437,OvR_LinearSVC,1.0,10.0,0.0
20260226_094437,OvR_LinearSVC,1.0,11.0,0.0
20260226_094437,OvR_LinearSVC,1.0,12.0,0.0
20260226_094437,OvR_LinearSVC,1.0,13.0,0.0
20260226_094437,OvR_LinearSVC,2.0,0.0,3.0
20260226_094437,OvR_LinearSVC,2.0,1.0,1.0
20260226_094437,OvR_LinearSVC,2.0,2.0,180.0
